No,Musteri,Tarih,Durum,Konu,Musteri Mesaji (Ozet),Personel Cevabi,Cevaplanmis Mi,Kullanilmasi Gereken Hazir Cevap,Degerlendirme
1,ekinsuyildiz,2026-03-30,open,Belirsiz,Merhaba + gorsel gonderdi,-,HAYIR,Gorsele gore: Fiyat Sorgusu veya Beden Sorgusu sablonu,Gorsel incelenip ilgili sablon gonderilmeli
2,oozlemdundar,2026-03-30,open,Siparis Takibi,Siparisimin durumu hakkinda bilgi almak istiyorum,-,HAYIR,Pre-Order Sureci sablonu (once siparis no iste),ACIL - Siparis numarasi istenip bilgi verilmeli
3,_kevser_cankaya_,2026-03-30,open,Siparis Takibi,Gecen hafta siparis ettim henuz kargoya verilmedi. Dogrulandi yaziyor ne zaman verilir?,-,HAYIR,Pre-Order Sureci sablonu,ACIL - Preorder sureci aciklanmali
4,keratin.school,2026-03-30,open,Fiyat Sorgusu,Gonderi paylasip fiyat bilgisi alabilir miyim dedi,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
5,mtlsvnc,2026-03-30,open,Stok Sorgusu,Gorsel gondererek stok guncellemesi ne zaman yapilacak diye sordu,-,HAYIR,Stok Yenileniyor sablonu,Stok durumu hakkinda bilgi verilmeli
6,funda_salgin,2026-03-30,open,Urun Bilgisi,Gonderi paylasip takimin rengi ne acaba diye sordu,-,HAYIR,Fiyat Sorgusu sablonu + renk bilgisi ekle,Renk bilgisi verilmeli
7,sena.dmr.byrktr,2026-03-30,open,Beden Bilgisi,Reel paylasip mankenin uzerindeki hangi beden diye sordu,-,HAYIR,Beden Sorgusu sablonu,Manken beden bilgisi verilmeli
8,canangokr2,2026-03-30,open,Stok Sorgusu,Koleksiyonlarin XS beden yok mu,-,HAYIR,Stok Yenileniyor sablonu,Beden secenekleri hakkinda bilgi verilmeli
9,edaegelinew,2026-03-30,open,Fiziksel Magaza,Istanbul'da dukkaniniz var mi,-,HAYIR,Fiziksel Magaza sablonu,Showroom bilgisi verilmeli
10,tugccekaya,2026-03-30,open,Siparis Takibi,Numaramla uyelik olusturmadan siparis verdim nasil takip edebilirim,-,HAYIR,Pre-Order Sureci sablonu (once siparis no iste),Siparis takip yontemi aciklanmali
11,firdes.kardes16,2026-03-30,open,Fiyat Sorgusu,Hikaye yanitlayarak fiyati nedir dedi,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
12,ozgectb,2026-03-29,open,Siparis Takibi,Siparisimle ilgili hicbir mail gelmiyor + gorseller,-,HAYIR,Pre-Order Sureci sablonu (once siparis no iste),ACIL - Siparis kontrolu yapilmali
13,firdevs_asci,2026-03-29,open,Siparis Vermek,Gorsel gonderip siparis vermek istiyorum dedi,-,HAYIR,Fiyat Sorgusu sablonu (siteye yonlendir),Siteye yonlendirilmeli
14,bernayeniyolsimsek,2026-03-29,open,Siparis Takibi,19 Mart'ta urun aldim bilgi gelmedi kargoya verildimi + gorseller,-,HAYIR,Pre-Order Sureci sablonu + ilgili ekibe ilet,ACIL - 11 gun gecmis bilgi verilmeli
15,poyraz_rahime,2026-03-29,open,Stok Sorgusu,Urunler guncellenecek mi + gorsel,-,HAYIR,Stok Yenileniyor sablonu,Stok durumu bilgisi verilmeli
16,zhr38118,2026-03-29,open,Fiyat Sorgusu,Reel paylasip fiyatini ogrenebilir miyim dedi,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
17,semasipahiogluu,2026-03-29,open,Kumas Bilgisi,Ekru kimono set kumas cinsini ogrenebilir miyim,-,HAYIR,Kumas Bilgisi sablonu,Kumas bilgisi verilmeli
18,hikayekarmasik,2026-03-29,open,Fiyat Sorgusu,Tisort alt ve hirka ne kadar,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
19,egebasogluu,2026-03-29,open,Urun Arama,Sari renk mini elbise ve uzun ust ariyorum bulamiyorum yardimci olun,-,HAYIR,Fiyat Sorgusu sablonu + urunu bulmasi icin detayli yardim,ONEMLI - Sitede urunu bulup link gonder
20,busteekkk,2026-03-29,open,Fiyat Sorgusu,Takim fiyati,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
21,tevfik_ic_giyim_sadiye,2026-03-29,open,Toptan Satis,Toptan satisiniz var mi,-,HAYIR,Toptan Satis Talebi sablonu (info@),Toptan satis bilgisi verilmeli
22,daily_life_in_istanbul_,2026-03-29,open,Urun Bilgisi,Icerigi nedir,-,HAYIR,Kumas Bilgisi sablonu,Kumas icerigi verilmeli
23,zelalsengonul,2026-03-28,open,Siparis Takibi,Siparisimi kontrol eder misiniz - 7925 - bebe mavisi alt ust,Siparis numarasi istendi,EVET,Pre-Order Sureci sablonu (no geldi kontrol et),IYI - Dogru yaklasim siparis no istenmis
24,amelmouna__,2026-03-29,open,Genel,Hikaye yanitladi: This one is 100,-,HAYIR,Fiyat Sorgusu sablonu (tesekkur + siteye yonlendir),Tesekkur et + siteye yonlendir
