
=== RAHAT DÖKÜMLÜ PANTOLON ===
Renk,Beden,H1 (1-7 Mar),H2 (8-14 Mar),H3 (15-21 Mar),H4 (22-28 Mar),H5 (29-31 Mar),MART TOPLAM,Haftalik Ort,Gunluk Ort,AYLIK x1.5 IHTIYAC
GRİ MELANJ,XS-S,27,37,34,80,7,185,43,6.17,278
GRİ MELANJ,M-L,19,9,9,53,8,98,22.8,3.27,147
GRİ MELANJ TOPLAM,TUM BEDENLER,46,46,43,133,15,283,65.8,9.43,425
ACI KAHVE,XS-S,34,30,28,57,11,160,37.2,5.33,240
ACI KAHVE,M-L,27,13,21,29,10,100,23.3,3.33,150
ACI KAHVE TOPLAM,TUM BEDENLER,61,43,49,86,21,260,60.5,8.67,390
MÜRDÜM,XS-S,20,22,22,47,11,122,28.4,4.07,183
MÜRDÜM,M-L,18,15,14,31,3,81,18.8,2.7,122
MÜRDÜM TOPLAM,TUM BEDENLER,38,37,36,78,14,203,47.2,6.77,305
KIRMIZI,XS-S,17,22,21,45,7,112,26,3.73,168
KIRMIZI,M-L,17,17,15,27,4,80,18.6,2.67,120
KIRMIZI TOPLAM,TUM BEDENLER,34,39,36,72,11,192,44.7,6.4,288
BEBE MAVİSİ,XS-S,9,14,7,71,13,114,26.5,3.8,171
BEBE MAVİSİ,M-L,6,10,13,43,5,77,17.9,2.57,116
BEBE MAVİSİ TOPLAM,TUM BEDENLER,15,24,20,114,18,191,44.4,6.37,287
SİYAH,XS-S,28,14,20,36,10,108,25.1,3.6,162
SİYAH,M-L,11,14,11,27,4,67,15.6,2.23,101
SİYAH TOPLAM,TUM BEDENLER,39,28,31,63,14,175,40.7,5.83,263
TAŞ,XS-S,17,20,13,44,9,103,24,3.43,155
TAŞ,M-L,14,9,13,23,2,61,14.2,2.03,92
TAŞ TOPLAM,TUM BEDENLER,31,29,26,67,11,164,38.1,5.47,246
EKRU,XS-S,18,19,21,34,8,100,23.3,3.33,150
EKRU,M-L,10,13,11,22,2,58,13.5,1.93,87
EKRU TOPLAM,TUM BEDENLER,28,32,32,56,10,158,36.7,5.27,237
TEREYAĞ SARISI,XS-S,9,14,29,39,8,99,23,3.3,149
TEREYAĞ SARISI,M-L,7,7,18,20,6,58,13.5,1.93,87
TEREYAĞ SARISI TOPLAM,TUM BEDENLER,16,21,47,59,14,157,36.5,5.23,236
KOYU VİZON,XS-S,8,9,19,10,8,54,12.6,1.8,81
KOYU VİZON,M-L,3,3,9,18,5,38,8.8,1.27,57
KOYU VİZON TOPLAM,TUM BEDENLER,11,12,28,28,13,92,21.4,3.07,138
ANTRASİT MELANJ,XS-S,17,11,11,10,2,51,11.9,1.7,77
ANTRASİT MELANJ,M-L,0,0,0,13,1,14,3.3,0.47,21
ANTRASİT MELANJ TOPLAM,TUM BEDENLER,17,11,11,23,3,65,15.1,2.17,98
RAHAT DÖKÜMLÜ PANTOLON GENEL TOPLAM,,336,322,359,779,144,1940,451.2,64.67,2910

=== KALIN ASKILI ATLET ===
Renk,Beden,H1 (1-7 Mar),H2 (8-14 Mar),H3 (15-21 Mar),H4 (22-28 Mar),H5 (29-31 Mar),MART TOPLAM,Haftalik Ort,Gunluk Ort,AYLIK x1.5 IHTIYAC
GRİ MELANJ,XS,6,13,11,15,3,48,11.2,1.6,72
GRİ MELANJ,S,7,6,12,42,3,70,16.3,2.33,105
GRİ MELANJ,M,11,7,6,29,1,54,12.6,1.8,81
GRİ MELANJ,L,3,4,5,27,3,42,9.8,1.4,63
GRİ MELANJ TOPLAM,TUM BEDENLER,27,30,34,113,10,214,49.8,7.13,321
ACI KAHVE,XS,8,8,6,19,2,43,10,1.43,65
ACI KAHVE,S,12,8,7,17,9,53,12.3,1.77,80
ACI KAHVE,M,9,3,12,19,4,47,10.9,1.57,71
ACI KAHVE,L,6,6,4,9,5,30,7,1,45
ACI KAHVE TOPLAM,TUM BEDENLER,35,25,29,64,20,173,40.2,5.77,260
BEBE MAVİSİ,XS,2,4,2,32,6,46,10.7,1.53,69
BEBE MAVİSİ,S,2,7,4,27,3,43,10,1.43,65
BEBE MAVİSİ,M,5,5,4,26,3,43,10,1.43,65
BEBE MAVİSİ,L,2,6,5,14,0,27,6.3,0.9,41
BEBE MAVİSİ TOPLAM,TUM BEDENLER,11,22,15,99,12,159,37,5.3,239
KIRMIZI,XS,8,8,4,18,2,40,9.3,1.33,60
KIRMIZI,S,3,10,8,15,4,40,9.3,1.33,60
KIRMIZI,M,7,7,8,12,1,35,8.1,1.17,53
KIRMIZI,L,3,7,5,13,2,30,7,1,45
KIRMIZI TOPLAM,TUM BEDENLER,21,32,25,58,9,145,33.7,4.83,218
MÜRDÜM,XS,6,6,10,14,2,38,8.8,1.27,57
MÜRDÜM,S,11,5,9,13,3,41,9.5,1.37,62
MÜRDÜM,M,8,7,4,21,2,42,9.8,1.4,63
MÜRDÜM,L,5,4,4,9,2,24,5.6,0.8,36
MÜRDÜM TOPLAM,TUM BEDENLER,30,22,27,57,9,145,33.7,4.83,218
TAŞ,XS,7,4,5,17,5,38,8.8,1.27,57
TAŞ,S,2,7,3,20,3,35,8.1,1.17,53
TAŞ,M,10,5,8,17,1,41,9.5,1.37,62
TAŞ,L,4,4,5,6,2,21,4.9,0.7,32
TAŞ TOPLAM,TUM BEDENLER,23,20,21,60,11,135,31.4,4.5,203
EKRU,XS,8,5,11,11,3,38,8.8,1.27,57
EKRU,S,6,10,7,18,1,42,9.8,1.4,63
EKRU,M,4,7,6,13,2,32,7.4,1.07,48
EKRU,L,5,2,6,8,1,22,5.1,0.73,33
EKRU TOPLAM,TUM BEDENLER,23,24,30,50,7,134,31.2,4.47,201
TEREYAĞ SARISI,XS,4,4,13,9,2,32,7.4,1.07,48
TEREYAĞ SARISI,S,1,4,8,18,3,34,7.9,1.13,51
TEREYAĞ SARISI,M,2,2,8,14,3,29,6.7,0.97,44
TEREYAĞ SARISI,L,1,4,4,4,4,17,4,0.57,26
TEREYAĞ SARISI TOPLAM,TUM BEDENLER,8,14,33,45,12,112,26,3.73,168
SİYAH,XS,4,2,6,6,1,19,4.4,0.63,29
SİYAH,S,4,4,5,8,1,22,5.1,0.73,33
SİYAH,M,3,3,3,12,1,22,5.1,0.73,33
SİYAH,L,5,9,4,10,1,29,6.7,0.97,44
SİYAH TOPLAM,TUM BEDENLER,16,18,18,36,4,92,21.4,3.07,138
KOYU VİZON,XS,3,3,10,5,4,25,5.8,0.83,38
KOYU VİZON,S,0,4,6,5,2,17,4,0.57,26
KOYU VİZON,M,1,2,5,11,3,22,5.1,0.73,33
KOYU VİZON,L,2,1,1,9,3,16,3.7,0.53,24
KOYU VİZON TOPLAM,TUM BEDENLER,6,10,22,30,12,80,18.6,2.67,120
ANTRASİT MELANJ,XS,6,3,1,2,0,12,2.8,0.4,18
ANTRASİT MELANJ,S,4,3,5,5,1,18,4.2,0.6,27
ANTRASİT MELANJ,M,1,0,0,2,0,3,0.7,0.1,5
ANTRASİT MELANJ,L,1,1,0,8,1,11,2.6,0.37,17
ANTRASİT MELANJ TOPLAM,TUM BEDENLER,12,7,6,17,2,44,10.2,1.47,66
ÇİKOLATA KAHVE,XS,0,0,0,1,0,1,0.2,0.03,2
ÇİKOLATA KAHVE,S,0,0,0,0,0,0,0,0,0
ÇİKOLATA KAHVE,M,0,0,0,1,1,2,0.5,0.07,3
ÇİKOLATA KAHVE,L,1,0,0,1,0,2,0.5,0.07,3
ÇİKOLATA KAHVE TOPLAM,TUM BEDENLER,1,0,0,3,1,5,1.2,0.17,8
ORANGE,XS,0,0,0,2,0,2,0.5,0.07,3
ORANGE,S,0,1,0,0,0,1,0.2,0.03,2
ORANGE,M,0,0,1,0,0,1,0.2,0.03,2
ORANGE,L,0,0,0,1,0,1,0.2,0.03,2
ORANGE TOPLAM,TUM BEDENLER,0,1,1,3,0,5,1.2,0.17,8
LIME,XS,0,0,0,0,0,0,0,0,0
LIME,S,0,0,0,3,0,3,0.7,0.1,5
LIME,M,0,1,0,1,0,2,0.5,0.07,3
LIME,L,0,0,0,0,0,0,0,0,0
LIME TOPLAM,TUM BEDENLER,0,1,0,4,0,5,1.2,0.17,8
LACİVERT,XS,0,0,0,1,0,1,0.2,0.03,2
LACİVERT,S,1,0,1,1,0,3,0.7,0.1,5
LACİVERT,M,0,0,0,0,0,0,0,0,0
LACİVERT,L,0,0,0,0,0,0,0,0,0
LACİVERT TOPLAM,TUM BEDENLER,1,0,1,2,0,4,0.9,0.13,6
EKRU MELANJ,XS,1,1,1,0,0,3,0.7,0.1,5
EKRU MELANJ,S,0,0,0,0,0,0,0,0,0
EKRU MELANJ,M,0,0,0,0,0,0,0,0,0
EKRU MELANJ,L,1,0,0,0,0,1,0.2,0.03,2
EKRU MELANJ TOPLAM,TUM BEDENLER,2,1,1,0,0,4,0.9,0.13,6
YAĞ YEŞİLİ,XS,0,0,2,0,0,2,0.5,0.07,3
YAĞ YEŞİLİ,S,0,0,0,0,0,0,0,0,0
YAĞ YEŞİLİ,M,0,0,0,0,0,0,0,0,0
YAĞ YEŞİLİ,L,0,0,0,0,0,0,0,0,0
YAĞ YEŞİLİ TOPLAM,TUM BEDENLER,0,0,2,0,0,2,0.5,0.07,3
BORDO,XS,1,0,0,0,0,1,0.2,0.03,2
BORDO,S,0,0,0,0,0,0,0,0,0
BORDO,M,0,0,0,0,0,0,0,0,0
BORDO,L,0,0,0,0,0,0,0,0,0
BORDO TOPLAM,TUM BEDENLER,1,0,0,0,0,1,0.2,0.03,2
KÜL GRİ,XS,0,0,0,0,0,0,0,0,0
KÜL GRİ,S,0,0,0,0,0,0,0,0,0
KÜL GRİ,M,0,0,0,0,0,0,0,0,0
KÜL GRİ,L,0,0,1,0,0,1,0.2,0.03,2
KÜL GRİ TOPLAM,TUM BEDENLER,0,0,1,0,0,1,0.2,0.03,2
KALIN ASKILI ATLET GENEL TOPLAM,,217,227,266,641,109,1460,339.5,48.67,2190

=== KEMERLİ KOMBİNE UZUN KİMONO ===
Renk,Beden,H1 (1-7 Mar),H2 (8-14 Mar),H3 (15-21 Mar),H4 (22-28 Mar),H5 (29-31 Mar),MART TOPLAM,Haftalik Ort,Gunluk Ort,AYLIK x1.5 IHTIYAC
ACI KAHVE,STANDART,30,18,22,54,11,135,31.4,4.5,203
ACI KAHVE TOPLAM,TUM BEDENLER,30,18,22,54,11,135,31.4,4.5,203
MÜRDÜM,STANDART,31,24,19,47,5,126,29.3,4.2,189
MÜRDÜM TOPLAM,TUM BEDENLER,31,24,19,47,5,126,29.3,4.2,189
GRİ MELANJ,STANDART,18,17,18,65,7,125,29.1,4.17,188
GRİ MELANJ TOPLAM,TUM BEDENLER,18,17,18,65,7,125,29.1,4.17,188
KIRMIZI,STANDART,15,19,15,49,6,104,24.2,3.47,156
KIRMIZI TOPLAM,TUM BEDENLER,15,19,15,49,6,104,24.2,3.47,156
TAŞ,STANDART,14,12,17,54,6,103,24,3.43,155
TAŞ TOPLAM,TUM BEDENLER,14,12,17,54,6,103,24,3.43,155
EKRU,STANDART,10,19,22,47,4,102,23.7,3.4,153
EKRU TOPLAM,TUM BEDENLER,10,19,22,47,4,102,23.7,3.4,153
BEBE MAVİSİ,STANDART,7,12,7,66,8,100,23.3,3.33,150
BEBE MAVİSİ TOPLAM,TUM BEDENLER,7,12,7,66,8,100,23.3,3.33,150
SİYAH,STANDART,13,9,17,21,1,61,14.2,2.03,92
SİYAH TOPLAM,TUM BEDENLER,13,9,17,21,1,61,14.2,2.03,92
TEREYAĞ SARISI,STANDART,2,6,21,24,6,59,13.7,1.97,89
TEREYAĞ SARISI TOPLAM,TUM BEDENLER,2,6,21,24,6,59,13.7,1.97,89
KOYU VİZON,STANDART,1,7,15,18,8,49,11.4,1.63,74
KOYU VİZON TOPLAM,TUM BEDENLER,1,7,15,18,8,49,11.4,1.63,74
ANTRASİT MELANJ,STANDART,3,2,5,22,3,35,8.1,1.17,53
ANTRASİT MELANJ TOPLAM,TUM BEDENLER,3,2,5,22,3,35,8.1,1.17,53
KEMERLİ KOMBİNE UZUN KİMONO GENEL TOPLAM,,144,145,178,467,65,999,232.3,33.3,1499

=== FIT KESIM UZUN KOLLU T-SHIRT ===
Renk,Beden,H1 (1-7 Mar),H2 (8-14 Mar),H3 (15-21 Mar),H4 (22-28 Mar),H5 (29-31 Mar),MART TOPLAM,Haftalik Ort,Gunluk Ort,AYLIK x1.5 IHTIYAC
ACI KAHVE,XS,3,6,4,9,1,23,5.3,0.77,35
ACI KAHVE,S,7,5,7,8,1,28,6.5,0.93,42
ACI KAHVE,M,14,7,2,3,0,26,6,0.87,39
ACI KAHVE,L,3,0,3,5,2,13,3,0.43,20
ACI KAHVE TOPLAM,TUM BEDENLER,27,18,16,25,4,90,20.9,3,135
GRİ MELANJ,XS,2,5,4,3,3,17,4,0.57,26
GRİ MELANJ,S,3,5,7,7,1,23,5.3,0.77,35
GRİ MELANJ,M,4,7,5,8,1,25,5.8,0.83,38
GRİ MELANJ,L,4,4,0,6,0,14,3.3,0.47,21
GRİ MELANJ TOPLAM,TUM BEDENLER,13,21,16,24,5,79,18.4,2.63,119
MÜRDÜM,XS,3,7,4,4,3,21,4.9,0.7,32
MÜRDÜM,S,4,4,4,9,2,23,5.3,0.77,35
MÜRDÜM,M,2,3,2,5,0,12,2.8,0.4,18
MÜRDÜM,L,3,3,2,6,1,15,3.5,0.5,23
MÜRDÜM TOPLAM,TUM BEDENLER,12,17,12,24,6,71,16.5,2.37,107
BEBE MAVİSİ,XS,1,1,2,10,2,16,3.7,0.53,24
BEBE MAVİSİ,S,2,0,3,14,4,23,5.3,0.77,35
BEBE MAVİSİ,M,3,1,0,13,2,19,4.4,0.63,29
BEBE MAVİSİ,L,0,1,1,8,1,11,2.6,0.37,17
BEBE MAVİSİ TOPLAM,TUM BEDENLER,6,3,6,45,9,69,16,2.3,104
KIRMIZI,XS,2,3,2,3,0,10,2.3,0.33,15
KIRMIZI,S,4,4,7,5,1,21,4.9,0.7,32
KIRMIZI,M,3,2,2,3,1,11,2.6,0.37,17
KIRMIZI,L,3,3,0,6,0,12,2.8,0.4,18
KIRMIZI TOPLAM,TUM BEDENLER,12,12,11,17,2,54,12.6,1.8,81
TAŞ,XS,0,3,1,4,1,9,2.1,0.3,14
TAŞ,S,1,0,1,6,0,8,1.9,0.27,12
TAŞ,M,5,3,0,4,1,13,3,0.43,20
TAŞ,L,3,4,4,3,0,14,3.3,0.47,21
TAŞ TOPLAM,TUM BEDENLER,9,10,6,17,2,44,10.2,1.47,66
TEREYAĞ SARISI,XS,2,0,0,2,1,5,1.2,0.17,8
TEREYAĞ SARISI,S,4,0,2,3,1,10,2.3,0.33,15
TEREYAĞ SARISI,M,3,5,2,5,2,17,4,0.57,26
TEREYAĞ SARISI,L,0,1,7,3,1,12,2.8,0.4,18
TEREYAĞ SARISI TOPLAM,TUM BEDENLER,9,6,11,13,5,44,10.2,1.47,66
EKRU,XS,1,0,0,5,2,8,1.9,0.27,12
EKRU,S,3,3,3,2,2,13,3,0.43,20
EKRU,M,3,4,5,4,0,16,3.7,0.53,24
EKRU,L,3,1,1,1,0,6,1.4,0.2,9
EKRU TOPLAM,TUM BEDENLER,10,8,9,12,4,43,10,1.43,65
