LESSANDROMANCE - NISAN 2026 URETIM & KUMAS ALIM PLANI,,,,,,,,,,,,
Hedef Ciro: 25M TL | Mart Baz: 10.97M TL | Carpan: x2.28,,,,,,,,,,,,
,,,,,,,,,,,,
GRAMAJ BILGISI,,,,,,,,,,,,
Urun,Gramaj (adet),,,,,,,,,,,
RAHAT DÖKÜMLÜ PANTOLON,650 gr,,,,,,,,,,,
KALIN ASKILI ATLET,105 gr,,,,,,,,,,,
KEMERLİ KOMBİNE UZUN KİMONO,850 gr,,,,,,,,,,,
FIT KESIM UZUN KOLLU T-SHIRT,200 gr,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
URUN BAZLI OZET,,,,,,,,,,,,
Urun,Birim Fiyat,Gramaj,Nisan Uretim (adet),Nisan Ciro (TL),Toplam Kumas (kg),Gunluk Uretim (adet),Gunluk Kumas (kg),Haftalik Uretim (adet),Haftalik Kumas (kg),,,
RAHAT DÖKÜMLÜ PANTOLON,2700 TL,650 gr,4426,11.950.200,2876.9,148,95.9,1030,669.5,,,
KALIN ASKILI ATLET,1150 TL,105 gr,3270,3.760.500,343.4,109,11.4,761,79.9,,,
KEMERLİ KOMBİNE UZUN KİMONO,3200 TL,850 gr,2280,7.296.000,1938,76,64.6,531,451.4,,,
FIT KESIM UZUN KOLLU T-SHIRT,1550 TL,200 gr,1286,1.993.300,257.2,43,8.6,300,60,,,
TOPLAM,,,11262,25.000.000,5415.5,376,168.9,2620,1259.4,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RENK BAZLI AYLIK KUMAS IHTIYACI (KG),,,,,,,,,,,,
Renk,Pantolon (kg),Atlet (kg),Kimono (kg),T-Shirt (kg),TOPLAM KG,Toplam Adet,Toplam Ciro (TL),Oncelik,Haftalik KG,Gunluk KG,,
GRİ MELANJ,419.9,51.2,242.3,36.2,749.6,1600,3.497.950,ORTA,174.3,25,,
ACI KAHVE,385.5,41.5,261.8,41.2,730,1502,3.360.250,ORTA,169.8,24.3,,
MÜRDÜM,302.9,35,246.5,32.4,616.8,1251,2.820.250,ORTA,143.4,20.6,,
KIRMIZI,284.7,34.8,202.3,24.8,546.6,1131,2.517.050,DUSUK,127.1,18.2,,
BEBE MAVİSİ,282.1,38.1,193.8,31.6,545.6,1183,2.563.750,DUSUK,126.9,18.2,,
TAŞ,243.1,32.3,199.8,20.2,495.4,1018,2.272.550,DUSUK,115.2,16.5,,
EKRU,234.7,32.1,198.1,19.8,484.7,999,2.225.650,DUSUK,112.7,16.2,,
